regiao,estado,municipio,revenda,cnpj,endereco,rua,complemento,bairro,cep,produto,data,valor_venda,valor_compra,unidade_medida,bandeira
SE,SP,AMERICANA,AGNALDO BRAGA," 07.370.543/0001-40",RUA ANHANGUERA,1282,,JD. NOVA AMERICANA,13466-060,ETANOL,01/12/2022,3.3,,R$ / litro,BRANCA
SE,SP,AMERICANA,AGNALDO BRAGA," 07.370.543/0001-40",RUA ANHANGUERA,1282,,JD. NOVA AMERICANA,13466-060,GASOLINA,01/12/2022,4.6,,R$ / litro,BRANCA
SE,SP,AMERICANA,CENTRO DE ABASTECIMENTO PETRONORTE LTDA," 03.575.108/0001-09",AVENIDA AFONSO PANSAN,533,,JD. HELENA,13473-291,GASOLINA,01/12/2022,4.7,,R$ / litro,BRANCA
SE,SP,AMERICANA,CENTRO DE ABASTECIMENTO PETRONORTE LTDA," 03.575.108/0001-09",AVENIDA AFONSO PANSAN,533,,JD. HELENA,13473-291,ETANOL,01/12/2022,3.5,,R$ / litro,BRANCA
SE,SP,AMERICANA,CENTRO DE ABASTECIMENTO PETRONORTE LTDA," 03.575.108/0001-09",AVENIDA AFONSO PANSAN,533,,JD. HELENA,13473-291,GASOLINA ADITIVADA,01/12/2022,4.9,,R$ / litro,BRANCA
SE,SP,AMERICANA,AUTO POSTO SÃO JERÔNIMO DE AMERICANA LTDA," 03.133.389/0001-31",AVENIDA SÃO JERÔNIMO,1536,,VILA SANTA MARIA,13471-200,ETANOL,01/12/2022,3.6,,R$ / litro,BRANCA
SE,SP,AMERICANA,AUTO POSTO SÃO JERÔNIMO DE AMERICANA LTDA," 03.133.389/0001-31",AVENIDA SÃO JERÔNIMO,1536,,VILA SANTA MARIA,13471-200,GASOLINA,01/12/2022,4.7,,R$ / litro,BRANCA
SE,SP,AMERICANA,AUTO POSTO E SERVICOS CENTRAL ART LIMITADA," 07.297.554/0001-41",RUA WASHINGTON LUIZ,514,,CENTRO,13465-520,ETANOL,01/12/2022,3.7,,R$ / litro,VIBRA ENERGIA
SE,SP,AMERICANA,AUTO POSTO E SERVICOS CENTRAL ART LIMITADA," 07.297.554/0001-41",RUA WASHINGTON LUIZ,514,,CENTRO,13465-520,GASOLINA,01/12/2022,4.9,,R$ / litro,VIBRA ENERGIA
SE,SP,AMERICANA,AUTO POSTO NPD LTDA," 04.209.634/0003-71",AVENIDA NOSSA SENHORA DE FATIMA,3264,,FAZENDA MACHADINHO,13478-540,ETANOL,01/12/2022,3.7,,R$ / litro,RAIZEN
SE,SP,AMERICANA,AUTO POSTO NPD LTDA," 04.209.634/0003-71",AVENIDA NOSSA SENHORA DE FATIMA,3264,,FAZENDA MACHADINHO,13478-540,GASOLINA ADITIVADA,01/12/2022,5,,R$ / litro,RAIZEN
SE,SP,AMERICANA,AUTO POSTO NPD LTDA," 04.209.634/0003-71",AVENIDA NOSSA SENHORA DE FATIMA,3264,,FAZENDA MACHADINHO,13478-540,GASOLINA,01/12/2022,4.8,,R$ / litro,RAIZEN
SE,SP,AMERICANA,AUTO POSTO MORAES & MORAES LTDA.," 02.718.474/0001-07",RUA JOSE VOLPATO,260,,JARDIM AMERICA,13476-050,ETANOL,01/12/2022,3.8,,R$ / litro,RAIZEN
SE,SP,AMERICANA,AUTO POSTO MORAES & MORAES LTDA.," 02.718.474/0001-07",RUA JOSE VOLPATO,260,,JARDIM AMERICA,13476-050,GASOLINA ADITIVADA,01/12/2022,6.9,,R$ / litro,RAIZEN
SE,SP,AMERICANA,AUTO POSTO MORAES & MORAES LTDA.," 02.718.474/0001-07",RUA JOSE VOLPATO,260,,JARDIM AMERICA,13476-050,GASOLINA,01/12/2022,4.9,,R$ / litro,RAIZEN
